feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,0
0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,0.1,1
0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,0.1,0.2,0
0.4,0.5,0.6,0.7,0.8,0.9,1.0,0.1,0.2,0.3,1
0.5,0.6,0.7,0.8,0.9,1.0,0.1,0.2,0.3,0.4,0
0.6,0.7,0.8,0.9,1.0,0.1,0.2,0.3,0.4,0.5,1
0.7,0.8,0.9,1.0,0.1,0.2,0.3,0.4,0.5,0.6,0
0.8,0.9,1.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,1
0.9,1.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0
1.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,0.05,0
0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,0.05,0.15,1
0.35,0.45,0.55,0.65,0.75,0.85,0.95,0.05,0.15,0.25,0
0.45,0.55,0.65,0.75,0.85,0.95,0.05,0.15,0.25,0.35,1
0.55,0.65,0.75,0.85,0.95,0.05,0.15,0.25,0.35,0.45,0
0.65,0.75,0.85,0.95,0.05,0.15,0.25,0.35,0.45,0.55,1
0.75,0.85,0.95,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0
0.85,0.95,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,1
0.95,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0
0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,1 